Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff
ADGRE2,0.07,0.12,0.08,0.08,0.08,0.09,0.05,0.05,0.07,0.12,0.07,0.08,0.08,0.08,0.08,0.02,0.05,0.04
ADGRE3,0.3,0.41,0.34,0.31,0.17,0.2,0.21,0.21,0.3,0.4,0.3,0.33,0.31,0.32,0.32,0.67,0.67,0.67
ADGRE5,0.39,0.5,0.41,0.39,0.13,0.37,0.27,0.27,0.39,0.5,0.36,0.41,0.39,0.37,0.37,0.64,0.66,0.66
CLEC17A,0.05,0.14,0.08,0.09,0.04,0.09,0.08,0.07,0.05,0.13,0.06,0.05,0.08,0.05,0.05,0.05,0.02,0.02
DDX39A,0.03,0.14,0.08,0.09,0.01,0.11,0.09,0.08,0.03,0.13,0.03,0.07,0.08,0.02,0.02,0.02,0.03,0.04
DNAJB1,0.06,0.19,0.1,0.1,0.03,0.11,0.1,0.07,0.06,0.18,0.06,0.08,0.09,0.06,0.06,0.03,0.02,0.01
GIPC1,0.06,0.1,0.06,0.07,0.02,0.05,0.04,0.04,0.05,0.09,0.05,0.06,0.06,0.05,0.05,0.04,0.01,0.01
NDUFB7,0.08,0.182795698924731,0.0879120879120879,0.0989010989010989,0.0289855072463768,0.153846153846154,0.0333333333333333,0.0333333333333333,0.04,0.129032258064516,0.0315789473684211,0.0659340659340659,0.0769230769230769,0.0309278350515464,0.0309278350515464,0.05,0.03,0.03
PKN1,0.04,0.14,0.07,0.08,0.02,0.19,0.09,0.08,0.04,0.13,0.04,0.07,0.08,0.05,0.05,0.04,0.03,0.03
PTGER1,0.05,0.1,0.03,0.04,0.03,0.07,0.02,0.03,0.05,0.1,0.05,0.03,0.04,0.05,0.05,0.03,0.03,0.03
TECR,0.21,0.38,0.28,0.29,0.11,0.22,0.17,0.17,0.2,0.35,0.2,0.25,0.27,0.21,0.21,0.4,0.4,0.4
ZNF333,0.03,0.12,0.12,0.13,0.03,0.11,0.12,0.12,0.03,0.11,0.03,0.12,0.12,0.03,0.03,0.02,0.02,0.02
