Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.04,0.06,0.02,0.03,0.04,0.06,0.04,0.03,0,0.17,0.07,0.01,0.2,0.08,0,0.08,0.07
ADGRE3,0.07,0.07,0.03,0.01,0.06,0.07,0.06,0.02,0.07,0.16,0.12,0.07,0.19,0.12,0.09,0.1,0.09
ADGRE5,0.07,0.1,0.05,0.06,0.06,0.08,0.07,0.04,0.06,0.17,0.11,0.03,0.16,0.12,0.06,0.11,0.08
CLEC17A,0.05,0.04,0.02,0.04,0.05,0.04,0.04,0.03,0.04,0.15,0.06,0.03,0.15,0.08,0.02,0.1,0.05
DDX39A,0.07,0.07,0.03,0.02,0.07,0.07,0.08,0.02,0.03,0.13,0.09,0.07,0.12,0.1,0.04,0.1,0.06
DNAJB1,0.03,0.1,0.03,0.03,0.03,0.1,0.03,0.03,0.04,0.15,0.1,0.02,0.13,0.07,0.03,0.08,0.07
GIPC1,0.06,0.08,0.03,0.06,0.06,0.07,0.06,0.05,0.04,0.14,0.07,0.02,0.11,0.04,0.05,0.12,0.06
NDUFB7,0.0625,0.07,0.021505376344086,0.04,0.03125,0.06,0.03,0,0.02,0.14,0.07,0.04,0.15,0.09,0.05,0.13,0.09
PKN1,0.03,0.06,0.01,0.08,0.03,0.06,0.03,0.03,0.05,0.18,0.1,0.04,0.21,0.08,0.04,0.12,0.11
PTGER1,0.09,0.11,0.03,0.01,0.09,0.1,0.1,0.04,0.03,0.13,0.08,0.01,0.13,0.05,0.06,0.11,0.06
TECR,0.06,0.08,0.02,0.04,0.05,0.07,0.04,0.01,0.01,0.2,0.09,0.02,0.16,0.1,0.08,0.11,0.06
ZNF333,0.04,0.07,0.02,0.05,0.03,0.07,0.03,0.02,0,0.15,0.1,0.02,0.17,0.09,0.02,0.09,0.07
