Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.07,0.12,0.08,0.08,0.14,0.14,0.03,0.06,0.04,0.05,0.09,0.1
ADGRE3,0.04,0.12,0.1,0.1,0.14,0.14,0.04,0.13,0.07,0.07,0.11,0.1
ADGRE5,0.03,0.2,0.12,0.11,0.21,0.21,0.02,0.14,0.03,0.04,0.15,0.16
CLEC17A,0.05,0.14,0.08,0.09,0.16,0.16,0.02,0.12,0.06,0.06,0.14,0.14
DDX39A,0.03,0.14,0.08,0.09,0.13,0.13,0.01,0.08,0.05,0.05,0.14,0.14
DNAJB1,0.06,0.19,0.1,0.1,0.14,0.13,0.04,0.12,0.08,0.08,0.11,0.13
GIPC1,0.06,0.1,0.06,0.07,0.14,0.13,0.01,0.07,0.05,0.05,0.09,0.1
NDUFB7,0.08,0.182795698924731,0.0879120879120879,0.0989010989010989,0.175,0.175,0.0285714285714286,0.131868131868132,0.0666666666666667,0.0666666666666667,0.0821917808219178,0.0684931506849315
PKN1,0.04,0.14,0.07,0.08,0.13,0.14,0.03,0.16,0.09,0.09,0.11,0.11
PTGER1,0.05,0.1,0.03,0.04,0.08,0.09,0.03,0.09,0.02,0.03,0.06,0.06
TECR,0.07,0.21,0.05,0.06,0.101010101010101,0.101010101010101,0.04,0.15,0.05,0.04,0.0909090909090909,0.0909090909090909
ZNF333,0.03,0.12,0.12,0.13,0.2,0.2,0.03,0.09,0.08,0.09,0.13,0.12
