Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.05,0.11,0.11,0.12,0.11,0.12,0.01,0.07,0.07,0.07,0.07,0.08
ADGRE3,0.02,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.02,0.02,0.03,0.04
ADGRE5,0.04,0.09,0.09,0.1,0.09,0.12,0,0.06,0.07,0.08,0.06,0.06
CLEC17A,0.03,0.09,0.09,0.09,0.09,0.09,0.01,0.06,0.05,0.06,0.06,0.06
DDX39A,0.02,0.11,0.1,0.11,0.1,0.1,0.03,0.08,0.09,0.09,0.09,0.08
DNAJB1,0.08,0.06,0.06,0.06,0.06,0.06,0.03,0.04,0.05,0.04,0.05,0.05
GIPC1,0.04,0.14,0.15,0.14,0.14,0.14,0.04,0.07,0.07,0.08,0.07,0.08
NDUFB7,0.0315789473684211,0.0824742268041237,0.0824742268041237,0.0824742268041237,0.0824742268041237,0.0927835051546392,0.0106382978723404,0.0631578947368421,0.0618556701030928,0.0618556701030928,0.0631578947368421,0.0631578947368421
PKN1,0.04,0.11,0.1,0.12,0.11,0.12,0.02,0.13,0.13,0.13,0.12,0.12
PTGER1,0.05,0.14,0.13,0.15,0.13,0.13,0.03,0.07,0.06,0.06,0.08,0.08
TECR,0.07,0.15,0.15,0.15,0.15,0.15,0.05,0.06,0.07,0.08,0.06,0.07
ZNF333,0.05,0.14,0.14,0.14,0.15,0.15,0.05,0.08,0.08,0.09,0.08,0.07
