Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.04,0.06,0.06,0.11,0.06,0.11,0.03,0.09,0.09,0.11,0.09,0.11
ADGRE3,0.03,0.07,0.07,0.09,0.07,0.09,0.02,0.03,0.03,0.04,0.03,0.04
ADGRE5,0.07,0.08,0.07,0.14,0.07,0.14,0.06,0.05,0.04,0.06,0.05,0.08
CLEC17A,0.03,0.1,0.1,0.15,0.1,0.15,0.01,0.07,0.07,0.09,0.07,0.08
DDX39A,0.02,0.09,0.09,0.15,0.09,0.13,0,0.03,0.03,0.09,0.03,0.07
DNAJB1,0.03,0.11,0.11,0.16,0.11,0.16,0.02,0.09,0.1,0.11,0.09,0.11
GIPC1,0.03,0.1,0.1,0.14,0.1,0.14,0.01,0.07,0.06,0.08,0.07,0.1
NDUFB7,0.0434782608695652,0.102040816326531,0.102040816326531,0.121212121212121,0.102040816326531,0.131313131313131,0.032967032967033,0.0625,0.0625,0.0707070707070707,0.0625,0.0707070707070707
PKN1,0.09,0.11,0.11,0.14,0.13,0.14,0.03,0.08,0.08,0.12,0.08,0.12
PTGER1,0.03,0.11,0.11,0.14,0.11,0.14,0.04,0.08,0.08,0.1,0.09,0.11
TECR,0.01,0.08,0.08,0.14,0.09,0.14,0.02,0.07,0.07,0.08,0.07,0.08
ZNF333,0.05,0.14,0.14,0.19,0.14,0.19,0.05,0.08,0.08,0.12,0.08,0.13
