Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.08,0.06,0.05,0.06,0.07,0.04,0.03,0.05,0.05,0.03,0.02,0.04,0.01,0.08,0.05,0.06
ADGRE3,0.06,0.02,0.03,0.03,0.06,0.02,0.07,0.01,0.03,0.05,0.06,0.02,0.06,0.05,0.05,0.03,0.02
ADGRE5,0.08,0.06,0.03,0.05,0.08,0.06,0.09,0.03,0.05,0.07,0.05,0.02,0.02,0.04,0.08,0.09,0.07
CLEC17A,0.05,0.06,0.03,0.01,0.05,0.04,0.05,0.01,0.08,0.04,0.04,0.04,0.05,0.03,0.11,0.04,0.05
DDX39A,0.04,0.03,0.01,0.01,0.04,0.03,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.07,0.05
DNAJB1,0.03,0.06,0.02,0,0.01,0.06,0.01,0.02,0.01,0.03,0.03,0.01,0.03,0.03,0.02,0.05,0.03
GIPC1,0.05,0.07,0.02,0.03,0.03,0.07,0.05,0.01,0.06,0.06,0.05,0.04,0.03,0.04,0.05,0.05,0.05
NDUFB7,0.025,0.0520833333333333,0.027027027027027,0.0212765957446809,0.025,0.03125,0.0204081632653061,0.02,0.06,0.02,0.04,0.05,0.04,0.03,0.07,0.02,0.05
PKN1,0.01,0.06,0.02,0.07,0.01,0.06,0.01,0,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.03,0.02
PTGER1,0.03,0.05,0,0.03,0.03,0.04,0.03,0.02,0.05,0.02,0.03,0.06,0.03,0.05,0.02,0.05,0.04
TECR,0.08,0.08,0.04,0.03,0.06,0.07,0.06,0.01,0.01,0.08,0.06,0.01,0.05,0.06,0.02,0.06,0.07
ZNF333,0.04,0.07,0.03,0.05,0.04,0.06,0.04,0.02,0.01,0.04,0.03,0.01,0.01,0.01,0.01,0.06,0.04
