Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.08,0.09,0.1,0.04,0.05,0.05,0.08,0.08,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04
ADGRE3,0.39,0.36,0.4,0.19,0.17,0.21,0.37,0.35,0.38,0.24,0.24,0.24,0.09,0.09,0.03,0.47,0.18,0.53
ADGRE5,0.51,0.51,0.53,0.21,0.2,0.25,0.48,0.49,0.51,0.25,0.25,0.25,0.04,0.04,0.03,0.5,0.17,0.62
CLEC17A,0.13,0.12,0.14,0.08,0.1,0.1,0.12,0.12,0.15,0.08,0.08,0.08,0.01,0.01,0.01,0.05,0.02,0.07
DDX39A,0.08,0.07,0.08,0.06,0.05,0.08,0.08,0.06,0.07,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.01,0.04
DNAJB1,0.06,0.06,0.08,0.05,0.03,0.05,0.04,0.03,0.06,0.02,0.02,0.02,0,0,0,0.02,0.01,0.01
GIPC1,0.09,0.09,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.03
NDUFB7,0.0652173913043478,0.0652173913043478,0.0760869565217391,0.0760869565217391,0.0760869565217391,0.0978260869565217,0.0326086956521739,0.0326086956521739,0.0434782608695652,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.01,0.01,0.01,0.04,0.01,0.05
PKN1,0.11,0.11,0.1,0.12,0.13,0.13,0.11,0.11,0.1,0.06,0.06,0.06,0.02,0.02,0.01,0.03,0,0.05
PTGER1,0.1,0.1,0.12,0.06,0.05,0.07,0.08,0.08,0.1,0.06,0.05,0.05,0.02,0.02,0.02,0.03,0.02,0.05
TECR,0.22,0.21,0.26,0.11,0.08,0.08,0.18,0.17,0.19,0.1,0.1,0.1,0.04,0.04,0.03,0.24,0.14,0.27
ZNF333,0.12,0.12,0.13,0.09,0.09,0.11,0.12,0.12,0.12,0.02,0.02,0.02,0,0,0.01,0.01,0.02,0.03
