Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.03,0.09,0.03,0.13,0.03,0.09,0.03,0.04,0.05,0.5,0.28,0.05,0.44,0.23,0.05,0.4,0.29
ADGRE3,0.43,0.54,0.16,0.25,0.43,0.54,0.43,0.78,0.87,0.99,1,0.58,0.97,0.95,0.86,1,1
ADGRE5,0.45,0.5,0.15,0.17,0.45,0.5,0.45,0.76,0.9,1,0.99,0.61,0.97,0.99,0.9,1,1
CLEC17A,0.04,0.1,0.01,0.04,0.04,0.1,0.05,0.08,0.09,0.32,0.19,0.05,0.3,0.19,0.09,0.32,0.24
DDX39A,0.08,0.15,0.06,0.06,0.06,0.15,0.07,0.06,0.05,0.35,0.17,0.06,0.36,0.19,0.02,0.21,0.11
DNAJB1,0.07,0.13,0.05,0.07,0.07,0.12,0.07,0.03,0.04,0.31,0.19,0.04,0.3,0.15,0,0.26,0.14
GIPC1,0.08,0.18,0.04,0.11,0.07,0.18,0.08,0.03,0.05,0.3,0.19,0.01,0.27,0.15,0.07,0.23,0.19
NDUFB7,0.0434782608695652,0.0816326530612245,0.0227272727272727,0.0515463917525773,0.0217391304347826,0.0612244897959184,0.0202020202020202,0.02,0.03,0.23,0.11,0.04,0.18,0.12,0.05,0.18,0.13
PKN1,0.03,0.11,0.07,0.1,0.03,0.11,0.03,0,0.01,0.46,0.27,0.01,0.4,0.21,0.02,0.38,0.21
PTGER1,0.06,0.11,0.04,0.01,0.06,0.11,0.04,0.04,0.07,0.35,0.22,0.07,0.34,0.24,0.06,0.3,0.17
TECR,0.3,0.31,0.14,0.16,0.3,0.31,0.29,0.46,0.48,0.81,0.86,0.38,0.69,0.67,0.46,0.82,0.83
ZNF333,0.04,0.07,0.02,0.07,0.04,0.07,0.04,0.01,0.03,0.41,0.23,0.04,0.33,0.21,0.04,0.38,0.22
