Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.03,0.08,0.05,0.05,0.03,0.08,0.04,0.03,0.02,0.11,0.06,0.02,0.12,0.08,0.04,0.06,0.04
ADGRE3,0.02,0.04,0,0.01,0.02,0.04,0.02,0.01,0.03,0.11,0.07,0.01,0.11,0.05,0.03,0.09,0.07
ADGRE5,0.09,0.07,0.06,0.06,0.09,0.07,0.09,0.03,0.04,0.07,0.04,0.08,0.05,0.03,0.03,0.05,0.05
CLEC17A,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.05,0.02,0.06,0.05,0.02,0.1,0.07,0,0.03,0.04
DDX39A,0.03,0.04,0,0.03,0.03,0.04,0.02,0.02,0.03,0.03,0.03,0.06,0.06,0.04,0.02,0.02,0.04
DNAJB1,0.01,0.06,0,0.02,0.01,0.05,0.01,0,0.04,0.05,0.01,0.06,0.05,0,0.04,0.04,0.03
GIPC1,0.02,0.03,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.08,0.05,0.04,0.06,0.03,0.04,0.04,0.03
NDUFB7,0.0786516853932584,0.0515463917525773,0.0804597701149425,0.0206185567010309,0.0674157303370786,0.0309278350515464,0.0606060606060606,0.02,0.04,0.06,0.05,0.03,0.06,0.03,0.04,0.05,0.06
PKN1,0.04,0.1,0.02,0.08,0.04,0.1,0.04,0,0.02,0.1,0.06,0.01,0.07,0.03,0.03,0.08,0.05
PTGER1,0.06,0.04,0.03,0.05,0.06,0.04,0.06,0.02,0.02,0.13,0.07,0.01,0.09,0.09,0.04,0.09,0.07
TECR,0.1,0.15,0.07,0.07,0.1,0.16,0.1,0.03,0.06,0.09,0.06,0.04,0.06,0.04,0.06,0.09,0.06
ZNF333,0.05,0.05,0.02,0.03,0.05,0.05,0.05,0.03,0.01,0.13,0.06,0.02,0.13,0.07,0.03,0.07,0.05
