Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.13,0.08,0.07,0.11,0.12,0.11,0.13,0.07,0.07,0.03,0.03,0.03,0.05,0.02,0.04,0.02,0.01,0.03
ADGRE3,0.34,0.31,0.32,0.18,0.17,0.16,0.31,0.3,0.31,0.16,0.16,0.16,0.41,0.39,0.42,0.61,0.42,0.6
ADGRE5,0.46,0.41,0.41,0.24,0.21,0.21,0.45,0.4,0.4,0.35,0.34,0.34,0.46,0.41,0.44,0.67,0.39,0.67
CLEC17A,0.07,0.07,0.06,0.04,0.07,0.07,0.06,0.06,0.06,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.05
DDX39A,0.08,0.03,0.03,0.07,0.05,0.07,0.09,0.03,0.03,0,0,0,0.04,0.04,0.04,0.04,0.04,0.01
DNAJB1,0.09,0.07,0.07,0.06,0.05,0.04,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.04,0.02
GIPC1,0.11,0.06,0.08,0.07,0.04,0.03,0.1,0.05,0.07,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.04,0.03
NDUFB7,0.1,0.0842105263157895,0.0957446808510638,0.0681818181818182,0.0543478260869565,0.0652173913043478,0.0888888888888889,0.0526315789473684,0.0531914893617021,0.0212765957446809,0.0208333333333333,0.0210526315789474,0.02,0.02,0.02,0.05,0.03,0.03
PKN1,0.13,0.09,0.09,0.12,0.09,0.08,0.13,0.09,0.09,0.05,0.05,0.05,0.07,0.05,0.05,0.03,0.02,0.02
PTGER1,0.06,0.03,0.05,0.03,0.03,0.03,0.05,0.03,0.04,0.04,0.03,0.03,0.02,0.04,0.04,0.02,0.03,0.05
TECR,0.23,0.22,0.2,0.14,0.1,0.1,0.21,0.2,0.18,0.13,0.14,0.14,0.2,0.18,0.2,0.36,0.21,0.38
ZNF333,0.12,0.03,0.04,0.09,0.05,0.05,0.12,0.03,0.04,0.05,0.05,0.05,0.02,0.03,0.03,0.05,0,0.07
