Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.05,0.04,0.1,0.04,0.04,0.07,0.04,0.04,0.01,0.01,0.01,0,0,0.02,0.03,0,0.06
ADGRE3,0.29,0.35,0.34,0.18,0.19,0.17,0.27,0.31,0.3,0.08,0.09,0.09,0.01,0.01,0.01,0.24,0,0.37
ADGRE5,0.42,0.35,0.37,0.22,0.2,0.18,0.39,0.32,0.32,0.09,0.09,0.09,0.01,0.01,0.01,0.18,0,0.33
CLEC17A,0.12,0.09,0.09,0.06,0.05,0.05,0.09,0.06,0.05,0.02,0.02,0.02,0,0,0,0.05,0.02,0.05
DDX39A,0.08,0.05,0.05,0.06,0.07,0.05,0.05,0.04,0.04,0.01,0.01,0.01,0,0.01,0.01,0,0,0.03
DNAJB1,0.09,0.06,0.05,0.06,0.05,0.05,0.09,0.04,0.04,0,0,0,0,0,0,0.02,0.01,0.04
GIPC1,0.09,0.03,0.03,0.03,0.01,0,0.09,0.03,0.03,0,0,0,0,0,0,0,0,0.01
NDUFB7,0.0697674418604651,0.0425531914893617,0.0537634408602151,0.0352941176470588,0.010989010989011,0.0112359550561798,0.0348837209302326,0.032258064516129,0.0217391304347826,0,0,0,0,0,0,0.02,0.02,0.06
PKN1,0.1,0.02,0.01,0.04,0.04,0.04,0.1,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.02,0,0.06
PTGER1,0.1,0.06,0.04,0.06,0.05,0.04,0.1,0.04,0.03,0.01,0.02,0.02,0,0.01,0.01,0,0,0.02
TECR,0.24,0.26,0.24,0.15,0.15,0.15,0.19,0.2,0.2,0.02,0.02,0.02,0,0,0,0.02,0,0.07
ZNF333,0.14,0.07,0.07,0.06,0.06,0.05,0.13,0.07,0.07,0.01,0.01,0.01,0,0.01,0,0.02,0,0.03
