Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.04,0.05,0.05,0.03,0.04,0.05,0.04,0.05,0.03,0.04,0.04,0.03,0.02,0.01,0,0.01,0.01
ADGRE3,0.31,0.3,0.33,0.14,0.13,0.13,0.28,0.25,0.28,0.23,0.23,0.23,0.07,0.07,0.07,0.46,0.17,0.44
ADGRE5,0.37,0.35,0.34,0.19,0.14,0.19,0.33,0.3,0.29,0.23,0.24,0.24,0.11,0.11,0.11,0.53,0.2,0.57
CLEC17A,0.1,0.08,0.08,0.05,0.04,0.04,0.06,0.04,0.04,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.05
DDX39A,0.05,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0,0.01,0.01,0.01,0.02,0,0,0.03,0.01,0.02
DNAJB1,0.07,0.06,0.05,0.03,0.06,0.04,0.07,0.06,0.05,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.01
GIPC1,0.06,0.07,0.06,0.05,0.03,0.03,0.06,0.03,0.05,0.04,0.05,0.05,0.02,0.01,0.01,0.03,0.03,0.05
NDUFB7,0.0729166666666667,0.0217391304347826,0.010989010989011,0.0549450549450549,0.021978021978022,0.0224719101123595,0.0208333333333333,0,0,0,0,0,0.01,0.02,0.01,0.03,0.02,0.01
PKN1,0.08,0.05,0.04,0.08,0.04,0.04,0.07,0.04,0.04,0.08,0.09,0.09,0.04,0.03,0.03,0.04,0.01,0.05
PTGER1,0.08,0.05,0.05,0.07,0.04,0.04,0.07,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.01,0.05,0.02,0.04
TECR,0.191919191919192,0.18,0.17,0.0808080808080808,0.09,0.09,0.151515151515152,0.12,0.12,0.1,0.1,0.1,0,0.01,0.01,0.25,0.14,0.29
ZNF333,0.06,0.05,0.04,0.05,0.06,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.03,0.01,0.01,0,0,0.03
