Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.06,0.05,0.08,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.01,0.01,0.03
ADGRE3,0.28,0.32,0.32,0.15,0.17,0.15,0.25,0.29,0.31,0.11,0.12,0.12,0.05,0.05,0.04,0.35,0.18,0.38
ADGRE5,0.38,0.44,0.42,0.23,0.14,0.15,0.36,0.42,0.4,0.18,0.2,0.2,0.08,0.07,0.08,0.45,0.12,0.52
CLEC17A,0.1,0.07,0.07,0.04,0.04,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.01,0.03,0.03
DDX39A,0.06,0.07,0.03,0.08,0.06,0.04,0.07,0.04,0.02,0.05,0.06,0.06,0.05,0,0,0.04,0.02,0.02
DNAJB1,0.09,0.09,0.08,0.07,0.05,0.05,0.07,0.06,0.06,0.04,0.05,0.05,0.02,0,0,0.02,0,0.04
GIPC1,0.06,0.04,0.03,0.04,0.02,0.02,0.05,0.03,0.02,0.01,0.01,0.01,0.02,0,0,0.04,0.02,0.02
NDUFB7,0.0721649484536082,0.0408163265306122,0.0421052631578947,0.0520833333333333,0.0612244897959184,0.0526315789473684,0.0721649484536082,0.0510204081632653,0.0526315789473684,0,0,0,0.02,0.03,0.03,0.03,0,0.03
PKN1,0.11,0.09,0.11,0.12,0.14,0.12,0.1,0.09,0.1,0.07,0.07,0.07,0.08,0.05,0.05,0.04,0.02,0.04
PTGER1,0.07,0.08,0.09,0.04,0.02,0.02,0.05,0.08,0.06,0.05,0.06,0.06,0.03,0.02,0.02,0.05,0.03,0.05
TECR,0.2,0.24,0.25,0.11,0.1,0.11,0.19,0.22,0.21,0.07,0.07,0.07,0.01,0.03,0.03,0.26,0.11,0.24
ZNF333,0.11,0.08,0.08,0.13,0.09,0.1,0.11,0.06,0.06,0.09,0.09,0.09,0.01,0.03,0.02,0.03,0,0.05
