Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.04,0.04,0.1,0.05,0.06,0.09,0.04,0.04,0.06,0.07,0.07,0.05,0.02,0.03,0.03,0.03,0.03
ADGRE3,0.4,0.45,0.46,0.28,0.25,0.29,0.38,0.4,0.44,0.22,0.21,0.21,0.25,0.25,0.1,0.46,0.16,0.55
ADGRE5,0.39,0.43,0.44,0.27,0.27,0.3,0.39,0.41,0.42,0.27,0.28,0.28,0.31,0.28,0.12,0.52,0.14,0.57
CLEC17A,0.1,0.03,0.03,0.06,0.01,0.01,0.09,0.02,0.02,0.02,0.03,0.03,0.05,0.03,0.04,0.01,0.04,0
DDX39A,0.03,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0.02,0.03,0.04,0.04,0.08,0.09,0.09,0.05,0.05,0.02
DNAJB1,0.11,0.06,0.07,0.1,0.05,0.05,0.09,0.06,0.08,0.03,0.03,0.03,0.02,0.03,0.03,0.01,0,0.05
GIPC1,0.12,0.05,0.06,0.09,0.07,0.04,0.12,0.05,0.04,0.01,0.02,0.02,0.08,0.04,0.06,0.02,0.03,0.02
NDUFB7,0.10752688172043,0.0645161290322581,0.074468085106383,0.0888888888888889,0.0543478260869565,0.0425531914893617,0.0860215053763441,0.032258064516129,0.0638297872340425,0.0217391304347826,0.0210526315789474,0.0210526315789474,0.01,0.01,0.01,0.05,0.05,0.05
PKN1,0.1,0.03,0.02,0.1,0.04,0.03,0.1,0.03,0.02,0.04,0.03,0.03,0.05,0.03,0.03,0.01,0.01,0.01
PTGER1,0.13,0.05,0.06,0.05,0.02,0.03,0.13,0.05,0.06,0.03,0.04,0.04,0.06,0.03,0.03,0.02,0.03,0.06
TECR,0.23,0.2,0.21,0.17,0.12,0.15,0.22,0.19,0.2,0.12,0.15,0.15,0.04,0.05,0.03,0.21,0.06,0.21
ZNF333,0.09,0.04,0.03,0.08,0,0.02,0.09,0.02,0.03,0.04,0.03,0.03,0.07,0.03,0.03,0.05,0.01,0.04
