Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.06,0.04,0.04,0.05,0.04,0.04,0.06,0.03,0.04,0.03,0.04,0.04,0.04,0,0,0.02,0,0.03
ADGRE3,0.12,0.13,0.11,0.12,0.04,0.04,0.11,0.11,0.1,0.06,0.07,0.07,0.04,0.05,0.05,0.1,0.06,0.1
ADGRE5,0.12,0.07,0.08,0.04,0.07,0.06,0.1,0.08,0.08,0.09,0.09,0.09,0.02,0.03,0.03,0.13,0.03,0.15
CLEC17A,0.09,0.07,0.08,0.1,0.04,0.05,0.07,0.05,0.06,0.04,0.04,0.04,0.01,0.02,0.02,0.02,0.03,0.02
DDX39A,0.07,0.04,0.03,0.04,0.01,0.02,0.06,0.03,0.03,0.04,0.03,0.03,0.03,0.01,0,0.03,0.03,0.03
DNAJB1,0.11,0.08,0.09,0.08,0.06,0.05,0.07,0.08,0.09,0.05,0.05,0.05,0.03,0.01,0.01,0.01,0.02,0.04
GIPC1,0.09,0.09,0.07,0.05,0.05,0.05,0.09,0.07,0.06,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.03,0.02
NDUFB7,0.116279069767442,0.0795454545454545,0.0689655172413793,0.125,0.0581395348837209,0.0588235294117647,0.0697674418604651,0.0340909090909091,0.0344827586206897,0,0,0,0.01,0,0,0.02,0.01,0.04
PKN1,0.08,0.05,0.05,0.1,0.09,0.07,0.08,0.05,0.05,0.05,0.04,0.04,0,0.01,0.01,0,0.01,0.02
PTGER1,0.14,0.08,0.07,0.08,0.02,0.02,0.12,0.08,0.07,0.04,0.04,0.04,0.06,0.04,0.04,0.02,0.02,0.02
TECR,0.1,0.09,0.09,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.04,0.03,0.03,0.06,0.03,0.06
ZNF333,0.06,0.05,0.04,0.03,0.07,0.06,0.07,0.06,0.04,0.07,0.07,0.07,0.03,0.03,0.03,0.02,0,0.04
