Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.06,0.06,0.05,0.03,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0,0,0,0.04,0,0.04
ADGRE3,0.11,0.08,0.08,0.06,0.05,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0,0,0,0.07,0,0.14
ADGRE5,0.12,0.1,0.09,0.05,0.06,0.04,0.04,0.02,0.03,0.04,0.04,0.04,0,0,0,0.16,0,0.19
CLEC17A,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.03,0,0.03
DDX39A,0.04,0.01,0.01,0.04,0.04,0.04,0.0101010101010101,0,0,0,0,0,0,0,0,0.01,0,0.02
DNAJB1,0.08,0.06,0.06,0.06,0.01,0.01,0,0.0102040816326531,0,0,0,0,0,0,0,0.01,0,0.01
GIPC1,0.06,0.05,0.05,0.02,0.01,0.01,0.0204081632653061,0.0103092783505155,0.0103092783505155,0,0.0104166666666667,0.0104166666666667,0,0,0,0.01,0,0.01
NDUFB7,0.0804597701149425,0.0602409638554217,0.0595238095238095,0.0476190476190476,0.0128205128205128,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0
PKN1,0.05,0.03,0.03,0.06,0.04,0.04,0.02,0.01,0.01,0,0.01,0.01,0,0,0,0.02,0,0.03
PTGER1,0.05,0.04,0.04,0.01,0.02,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0.02,0,0
TECR,0.08,0.0909090909090909,0.0909090909090909,0.02,0.0101010101010101,0.0101010101010101,0,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0,0.02,0,0.03
ZNF333,0.08,0.04,0.04,0.03,0.05,0.04,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0
