Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.11,0.07,0.07,0.08,0.07,0.07,0.1,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.04
ADGRE3,0.3,0.34,0.33,0.19,0.17,0.19,0.26,0.29,0.29,0.14,0.15,0.15,0.05,0.01,0.01,0.29,0,0.38
ADGRE5,0.46,0.47,0.46,0.26,0.23,0.23,0.45,0.45,0.46,0.14,0.14,0.14,0.03,0.03,0.03,0.37,0,0.49
CLEC17A,0.14,0.08,0.08,0.07,0.05,0.05,0.12,0.07,0.07,0.01,0.01,0.01,0,0.02,0.02,0.05,0.02,0.03
DDX39A,0.12,0.07,0.07,0.05,0.02,0.02,0.1,0.05,0.05,0,0,0,0.02,0.04,0.04,0.04,0.02,0.04
DNAJB1,0.11,0.06,0.05,0.06,0.02,0.02,0.08,0.04,0.03,0.01,0.01,0.01,0,0,0,0.03,0.03,0.05
GIPC1,0.12,0.04,0.04,0.08,0,0,0.1,0.02,0.02,0,0.02,0.02,0.01,0.01,0.01,0.04,0.01,0.08
NDUFB7,0.111111111111111,0.0952380952380952,0.0952380952380952,0.0574712643678161,0.0641025641025641,0.0641025641025641,0.0337078651685393,0.0365853658536585,0.0365853658536585,0,0,0,0.02,0.01,0.01,0.03,0.04,0.06
PKN1,0.12,0.1,0.1,0.11,0.12,0.11,0.11,0.09,0.1,0.04,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.04
PTGER1,0.06,0.02,0.02,0.05,0.03,0.04,0.04,0.01,0.02,0,0.01,0.01,0.01,0,0,0.03,0.02,0.05
TECR,0.2,0.19,0.2,0.09,0.08,0.08,0.17,0.16,0.16,0.04,0.03,0.03,0.02,0.02,0.02,0.11,0.02,0.2
ZNF333,0.1,0.04,0.04,0.11,0.05,0.05,0.09,0.03,0.03,0.03,0.04,0.04,0.02,0.05,0.05,0.01,0,0.03
