Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.04,0.04,0.07,0.05,0.05,0.07,0.04,0.04,0.05,0.04,0.04,0.01,0,0,0.01,0.01,0.03
ADGRE3,0.31,0.26,0.25,0.15,0.15,0.15,0.29,0.24,0.24,0.2,0.2,0.2,0.06,0.08,0.08,0.38,0.15,0.5
ADGRE5,0.49,0.38,0.38,0.31,0.26,0.25,0.46,0.35,0.35,0.22,0.26,0.26,0.13,0.13,0.13,0.55,0.2,0.58
CLEC17A,0.06,0.06,0.06,0.02,0.02,0.02,0.05,0.02,0.02,0.01,0.01,0.01,0.03,0.04,0.04,0.02,0,0.02
DDX39A,0.14,0.1,0.09,0.05,0.07,0.07,0.06,0.06,0.06,0.04,0.05,0.05,0.03,0.03,0.03,0,0,0.01
DNAJB1,0.11,0.03,0.03,0.07,0.02,0.02,0.07,0.03,0.03,0.06,0.05,0.05,0,0.01,0.02,0.01,0.02,0.08
GIPC1,0.11,0.09,0.09,0.08,0.02,0.02,0.08,0.04,0.04,0.03,0.03,0.03,0,0,0,0.01,0.02,0.03
NDUFB7,0.0851063829787234,0.021978021978022,0.021978021978022,0.0425531914893617,0.0227272727272727,0.0227272727272727,0.0212765957446809,0.010989010989011,0.010989010989011,0,0,0,0.01,0.01,0,0.01,0,0.02
PKN1,0.1,0.1,0.1,0.07,0.04,0.05,0.09,0.1,0.1,0.06,0.07,0.07,0.01,0.01,0.01,0,0.01,0.06
PTGER1,0.1,0.08,0.09,0.08,0.04,0.04,0.08,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0,0.04
TECR,0.22,0.2,0.21,0.17,0.12,0.13,0.13,0.12,0.12,0.06,0.06,0.06,0.05,0.05,0.05,0.19,0.14,0.24
ZNF333,0.07,0.06,0.06,0.07,0.05,0.05,0.07,0.04,0.04,0.04,0.04,0.04,0,0.02,0.02,0.04,0,0.06
