Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.15,0.09,0.09,0.1,0.04,0.05,0.13,0.09,0.09,0.04,0.05,0.05,0.03,0.05,0.05,0.04,0.02,0.05
ADGRE3,0.4,0.36,0.34,0.17,0.23,0.21,0.36,0.32,0.31,0.2,0.19,0.19,0.02,0.06,0.06,0.35,0.18,0.36
ADGRE5,0.58,0.52,0.51,0.31,0.27,0.28,0.53,0.48,0.46,0.3,0.29,0.29,0.1,0.09,0.09,0.54,0.2,0.56
CLEC17A,0.11,0.07,0.07,0.09,0.03,0.03,0.1,0.03,0.03,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01
DDX39A,0.08,0.08,0.08,0.05,0.05,0.07,0.06,0.08,0.08,0.02,0.03,0.03,0,0,0,0.04,0.03,0.04
DNAJB1,0.08,0.04,0.04,0.06,0.04,0.04,0.07,0.03,0.03,0.03,0.02,0.02,0.03,0.05,0.05,0.01,0.02,0.05
GIPC1,0.14,0.12,0.12,0.08,0.07,0.06,0.08,0.08,0.07,0.05,0.05,0.05,0.06,0.04,0.04,0.02,0.01,0.02
NDUFB7,0.11,0.1,0.12,0.07,0.05,0.05,0.06,0.03,0.03,0,0.01,0.01,0.03,0.01,0.01,0.04,0,0.04
PKN1,0.08,0.11,0.12,0.13,0.09,0.08,0.08,0.1,0.11,0.08,0.1,0.1,0.01,0.02,0.02,0.03,0.01,0.05
PTGER1,0.11,0.07,0.07,0.12,0.04,0.04,0.09,0.05,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.07
TECR,0.19,0.18,0.18,0.1,0.1,0.1,0.16,0.1,0.09,0.1,0.12,0.12,0.02,0.03,0.03,0.2,0.04,0.23
ZNF333,0.1,0.06,0.06,0.12,0.06,0.07,0.08,0.07,0.07,0,0.01,0.01,0.02,0.03,0.03,0.01,0.03,0.01
