Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.12,0.12,0.13,0.08,0.08,0.09,0.1,0.1,0.12,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.05
ADGRE3,0.38,0.38,0.4,0.18,0.18,0.21,0.38,0.37,0.39,0.15,0.15,0.15,0.03,0.03,0.04,0.29,0,0.36
ADGRE5,0.42,0.43,0.45,0.17,0.17,0.16,0.4,0.41,0.43,0.2,0.2,0.2,0.03,0.04,0.03,0.41,0,0.55
CLEC17A,0.06,0.06,0.06,0.05,0.04,0.05,0.06,0.06,0.06,0.02,0.02,0.02,0.01,0.01,0,0.01,0.03,0.03
DDX39A,0.04,0.04,0.06,0.05,0.05,0.07,0.04,0.04,0.05,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03
DNAJB1,0.1,0.1,0.13,0.05,0.05,0.06,0.07,0.08,0.12,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.05
GIPC1,0.08,0.08,0.11,0.06,0.06,0.07,0.07,0.07,0.12,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.02,0.03
NDUFB7,0.125,0.125,0.112359550561798,0.0459770114942529,0.0459770114942529,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.0786516853932584,0,0,0,0.01,0.01,0.01,0.02,0.02,0.04
PKN1,0.04,0.04,0.04,0.08,0.07,0.08,0.04,0.04,0.04,0.06,0.05,0.05,0.02,0.02,0.02,0.02,0.01,0.03
PTGER1,0.07,0.07,0.1,0.03,0.03,0.03,0.08,0.08,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.03
TECR,0.23,0.24,0.25,0.16,0.16,0.17,0.18,0.19,0.2,0.09,0.09,0.09,0.02,0.02,0.02,0.08,0,0.2
ZNF333,0.08,0.08,0.1,0.06,0.05,0.06,0.07,0.07,0.09,0.06,0.06,0.06,0.04,0.04,0.04,0.02,0,0.03
