Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.02,0.02,0.02,0.01,0,0,0.02,0,0.04
ADGRE3,0.41,0.41,0.42,0.24,0.25,0.25,0.41,0.41,0.42,0.25,0.25,0.25,0.05,0.05,0.05,0.43,0.1,0.52
ADGRE5,0.51,0.52,0.52,0.29,0.29,0.3,0.49,0.5,0.51,0.34,0.34,0.34,0.03,0.03,0.03,0.47,0.18,0.57
CLEC17A,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.05,0.02,0.01,0.03
DDX39A,0.09,0.09,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0,0.02
DNAJB1,0.1,0.1,0.1,0.08,0.07,0.07,0.1,0.08,0.09,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.02,0.05
GIPC1,0.04,0.03,0.03,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.04
NDUFB7,0.05,0.05,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.01,0,0.03
PKN1,0.06,0.07,0.07,0.07,0.07,0.08,0.06,0.07,0.07,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.03
PTGER1,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.02,0.02,0.02,0.04,0.02,0.04
TECR,0.26,0.27,0.29,0.16,0.17,0.16,0.22,0.23,0.23,0.17,0.18,0.18,0.03,0.04,0.04,0.26,0.13,0.3
ZNF333,0.05,0.04,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.06
