Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.04,0.03,0.04,0.05,0.04,0.05,0.04,0.03,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0,0.06
ADGRE3,0.37,0.35,0.38,0.16,0.16,0.17,0.34,0.33,0.36,0.26,0.26,0.26,0.06,0.06,0.03,0.55,0.16,0.58
ADGRE5,0.42,0.41,0.43,0.2,0.21,0.24,0.42,0.4,0.42,0.32,0.33,0.33,0.11,0.11,0.06,0.56,0.23,0.64
CLEC17A,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.03,0.04,0,0,0,0,0,0,0,0.03,0
DDX39A,0.06,0.06,0.05,0.05,0.03,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.03,0.05,0.03
DNAJB1,0.07,0.08,0.08,0.05,0.05,0.06,0.06,0.06,0.07,0.03,0.03,0.03,0.02,0.02,0.02,0.07,0.04,0.07
GIPC1,0.06,0.06,0.07,0.03,0.03,0.04,0.05,0.05,0.06,0.04,0.04,0.04,0.01,0.01,0,0.04,0.03,0.08
NDUFB7,0.0705882352941176,0.0705882352941176,0.0930232558139535,0.0476190476190476,0.0476190476190476,0.0588235294117647,0.0235294117647059,0.0235294117647059,0.0348837209302326,0,0,0,0.01,0.01,0.01,0.04,0.01,0.05
PKN1,0.06,0.07,0.07,0.06,0.06,0.07,0.05,0.06,0.07,0.04,0.04,0.04,0.02,0.02,0.01,0.01,0.02,0.01
PTGER1,0.06,0.05,0.06,0.04,0.03,0.06,0.06,0.05,0.06,0.04,0.04,0.04,0.01,0.01,0.01,0.05,0.04,0.04
TECR,0.24,0.22,0.26,0.13,0.12,0.13,0.23,0.22,0.23,0.13,0.13,0.13,0.01,0.01,0.01,0.22,0.15,0.25
ZNF333,0.07,0.07,0.09,0.05,0.07,0.07,0.09,0.09,0.09,0.05,0.05,0.05,0.01,0.01,0.01,0.04,0.02,0.04
