Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.05,0.06,0.04,0.04,0.04,0.06,0.06,0.05,0.06,0.06,0.06,0,0,0,0,0,0.02
ADGRE3,0.24,0.25,0.28,0.12,0.12,0.12,0.22,0.21,0.21,0.2,0.2,0.2,0,0,0,0.39,0.29,0.39
ADGRE5,0.3,0.3,0.31,0.09,0.09,0.09,0.3,0.3,0.31,0.19,0.19,0.19,0,0,0,0.41,0.28,0.43
CLEC17A,0.07,0.07,0.07,0.04,0.03,0.04,0.04,0.04,0.05,0.02,0.02,0.02,0,0,0,0.02,0.02,0.03
DDX39A,0.06,0.05,0.08,0.05,0.04,0.06,0.03,0.02,0.03,0.01,0.01,0.01,0,0,0,0.01,0.01,0.03
DNAJB1,0.09,0.09,0.09,0.04,0.04,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0,0,0,0.03,0.01,0.04
GIPC1,0.07,0.07,0.06,0.04,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0,0,0,0.01,0,0.02
NDUFB7,0.0769230769230769,0.0769230769230769,0.0729166666666667,0.0674157303370786,0.0674157303370786,0.0625,0.0333333333333333,0.0222222222222222,0.0210526315789474,0.0106382978723404,0.0106382978723404,0.0104166666666667,0,0,0,0.01,0.03,0.03
PKN1,0.04,0.04,0.06,0.03,0.03,0.03,0.04,0.04,0.05,0.03,0.03,0.03,0,0,0.01,0.04,0,0.06
PTGER1,0.05,0.05,0.06,0.02,0.02,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02
TECR,0.14,0.16,0.18,0.05,0.06,0.06,0.1,0.1,0.11,0.11,0.11,0.11,0,0,0,0.25,0.21,0.3
ZNF333,0.08,0.07,0.09,0.04,0.04,0.05,0.07,0.06,0.07,0.02,0.02,0.02,0,0,0,0,0,0.02
