Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.03,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.02,0,0,0,0.02,0.02,0.02,0.02,0.04,0.04
ADGRE3,0.32,0.31,0.33,0.15,0.14,0.17,0.31,0.3,0.32,0.18,0.18,0.18,0.08,0.08,0.04,0.52,0.26,0.52
ADGRE5,0.45,0.44,0.47,0.18,0.17,0.17,0.44,0.42,0.46,0.27,0.27,0.27,0.08,0.1,0.08,0.61,0.24,0.63
CLEC17A,0.02,0.01,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.05,0.05,0.05,0.02,0.02,0.02,0.01,0.02,0.04
DDX39A,0.03,0.03,0.06,0.01,0,0.01,0.02,0.02,0.04,0.02,0.02,0.02,0,0,0.01,0.03,0.01,0.03
DNAJB1,0.09,0.08,0.11,0.03,0.03,0.03,0.08,0.07,0.08,0.06,0.06,0.06,0,0,0,0.06,0.03,0.07
GIPC1,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.07,0.07,0.01,0.01,0.02,0.02,0.04,0.03
NDUFB7,0.0531914893617021,0.0531914893617021,0.0531914893617021,0.0326086956521739,0.043956043956044,0.0326086956521739,0.010752688172043,0.010752688172043,0.010752688172043,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.01,0.01,0.01,0.03,0.01,0.04
PKN1,0.02,0.02,0,0.05,0.06,0.06,0.02,0.02,0,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01
PTGER1,0.05,0.04,0.04,0.01,0.02,0.02,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.04,0.04,0.01,0.01,0.03
TECR,0.24,0.23,0.23,0.13,0.13,0.13,0.2,0.2,0.21,0.14,0.14,0.14,0.06,0.06,0.04,0.22,0.14,0.29
ZNF333,0.04,0.04,0.05,0.07,0.08,0.08,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.02,0.04,0.03
