Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.06,0.1,0.03,0.03,0.04,0.07,0.06,0.09,0.01,0.01,0.01,0,0,0,0.01,0,0.03
ADGRE3,0.31,0.3,0.33,0.13,0.11,0.18,0.28,0.28,0.33,0.08,0.08,0.08,0,0,0,0.19,0,0.34
ADGRE5,0.4,0.4,0.46,0.2,0.22,0.27,0.39,0.39,0.45,0.05,0.05,0.05,0.01,0.01,0.01,0.22,0,0.35
CLEC17A,0.05,0.06,0.08,0.04,0.03,0.06,0.05,0.06,0.08,0.01,0.01,0.01,0,0,0,0.02,0,0.03
DDX39A,0.02,0.04,0.06,0.02,0.03,0.03,0.01,0.02,0.06,0.01,0.01,0.01,0,0,0,0.02,0,0.03
DNAJB1,0.05,0.04,0.05,0.04,0.03,0.04,0.03,0.02,0.04,0.0303030303030303,0.0303030303030303,0.0303030303030303,0,0,0,0.03,0.02,0.05
GIPC1,0.1,0.1,0.11,0.06,0.06,0.07,0.09,0.09,0.11,0.02,0.02,0.02,0,0,0,0.04,0.02,0.07
NDUFB7,0.0266666666666667,0.0266666666666667,0.0769230769230769,0,0.0158730158730159,0.0289855072463768,0.0266666666666667,0.0266666666666667,0.0641025641025641,0.0131578947368421,0.0131578947368421,0.0256410256410256,0,0,0,0.02,0.02,0.02
PKN1,0.09,0.09,0.13,0.07,0.07,0.09,0.09,0.09,0.12,0.01,0.01,0.01,0,0,0,0,0,0.02
PTGER1,0.08,0.08,0.09,0.05,0.05,0.05,0.05,0.05,0.06,0,0,0,0,0,0,0.02,0.01,0.05
TECR,0.18,0.17,0.24,0.1,0.09,0.11,0.14,0.14,0.22,0.02,0.02,0.03,0,0,0,0.06,0,0.17
ZNF333,0.04,0.04,0.07,0.07,0.07,0.1,0.04,0.04,0.05,0.03,0.03,0.03,0,0,0,0.03,0,0.06
