Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.1,0.1,0.11,0.05,0.1,0.1,0.1,0.05,0.09,0.06,0.09,0.1,0.06,0.06,0.05,0.06,0.06,0.05,0.55,0.29,0.04,0.44,0.24,0.08,0.47,0.23
ADGRE3,0.07,0.09,0.1,0.1,0.05,0.09,0.08,0.1,0.06,0.09,0.06,0.1,0.1,0.07,0.07,0.05,0.06,0.06,0.06,0.4,0.25,0.04,0.35,0.2,0.09,0.38,0.21
ADGRE5,0.01,0.09,0.09,0.11,0.01,0.07,0.07,0.08,0.01,0.09,0.01,0.09,0.11,0.01,0.01,0.04,0.03,0.04,0.02,0.39,0.2,0,0.38,0.18,0.04,0.39,0.21
CLEC17A,0.04,0.15,0.14,0.17,0.03,0.1,0.09,0.1,0.04,0.15,0.04,0.14,0.17,0.04,0.04,0.03,0.03,0.04,0.02,0.25,0.2,0.02,0.24,0.19,0.04,0.23,0.2
DDX39A,0.03,0.11,0.1,0.08,0.03,0.09,0.07,0.09,0.03,0.1,0.03,0.09,0.09,0.03,0.03,0.05,0.05,0.04,0.04,0.28,0.13,0.05,0.27,0.14,0.03,0.23,0.15
DNAJB1,0.04,0.09,0.09,0.09,0.03,0.04,0.06,0.07,0.04,0.09,0.04,0.09,0.09,0.04,0.04,0.02,0.03,0.03,0.04,0.28,0.14,0.05,0.24,0.15,0.02,0.21,0.09
GIPC1,0.06,0.1,0.1,0.12,0.03,0.06,0.06,0.08,0.06,0.1,0.06,0.1,0.11,0.06,0.06,0.03,0.03,0.03,0.05,0.37,0.22,0.06,0.36,0.17,0.02,0.29,0.17
NDUFB7,0.0222222222222222,0.112244897959184,0.112244897959184,0.112244897959184,0.0114942528735632,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0111111111111111,0.0816326530612245,0.0204081632653061,0.0816326530612245,0.0816326530612245,0.0204081632653061,0.0204081632653061,0.02,0.02,0.02,0.04,0.14,0.07,0.02,0.15,0.08,0.03,0.09,0.06
PKN1,0.06,0.12,0.11,0.11,0.01,0.08,0.07,0.07,0.06,0.12,0.07,0.11,0.1,0.07,0.07,0.03,0.03,0.03,0,0.41,0.23,0.01,0.35,0.18,0,0.31,0.16
PTGER1,0.05,0.07,0.06,0.06,0.03,0.03,0.04,0.04,0.05,0.07,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.31,0.17,0.05,0.28,0.18,0.02,0.25,0.17
TECR,0.05,0.09,0.09,0.1,0.04,0.09,0.09,0.09,0.03,0.09,0.03,0.09,0.09,0.03,0.03,0.01,0.02,0.02,0.02,0.18,0.11,0.06,0.24,0.1,0.06,0.14,0.07
ZNF333,0.06,0.07,0.07,0.1,0.05,0.05,0.05,0.06,0.06,0.08,0.05,0.08,0.1,0.05,0.05,0.04,0.05,0.05,0.04,0.36,0.23,0.03,0.34,0.16,0.05,0.42,0.24
