Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.04,0.05,0.04,0.06,0.04,0.06,0.04,0.01,0.06,0.03,0.01,0.03,0.02,0.05,0.04,0.05
ADGRE3,0.05,0.04,0.01,0.04,0.05,0.04,0.06,0.01,0,0.05,0.03,0.02,0.05,0.06,0.03,0.03,0.05
ADGRE5,0.06,0.05,0.05,0.02,0.06,0.04,0.07,0.02,0.04,0.03,0.04,0.02,0.03,0.03,0.06,0.07,0.08
CLEC17A,0.07,0.05,0.04,0.03,0.04,0.04,0.04,0.03,0.1,0.03,0.04,0.07,0.07,0.06,0.11,0.03,0.07
DDX39A,0.04,0.07,0.01,0.02,0.04,0.07,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.02,0.03,0.08,0.07
DNAJB1,0.03,0.08,0.03,0.05,0.03,0.07,0.03,0.02,0.03,0.02,0.03,0.03,0.01,0.02,0.05,0.04,0.03
GIPC1,0.05,0.05,0.01,0.02,0.05,0.05,0.06,0.02,0.04,0.03,0.01,0.04,0.05,0.04,0.03,0.02,0.04
NDUFB7,0.0769230769230769,0.0202020202020202,0.0449438202247191,0.0102040816326531,0.021978021978022,0.0202020202020202,0.0202020202020202,0.01,0.07,0.02,0.03,0.05,0.02,0.02,0.05,0.02,0.03
PKN1,0.03,0.06,0.03,0.04,0.03,0.05,0.03,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.02,0.02
PTGER1,0.06,0.06,0.04,0.02,0.06,0.05,0.06,0.03,0.04,0.05,0.04,0.04,0.05,0.03,0.02,0.05,0.05
TECR,0.06,0.06,0.01,0.03,0.06,0.06,0.06,0.01,0.04,0.09,0.07,0.01,0.04,0.04,0.06,0.09,0.07
ZNF333,0.06,0.07,0.06,0.03,0.06,0.07,0.06,0.01,0.02,0.02,0.04,0.03,0,0,0.02,0.08,0.07
