Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.02,0.05,0.02,0.06,0.02,0.05,0.03,0.02,0.04,0.41,0.27,0.03,0.4,0.27,0.04,0.36,0.27
ADGRE3,0.12,0.15,0.04,0.06,0.12,0.15,0.12,0.26,0.24,0.67,0.58,0.17,0.6,0.49,0.22,0.67,0.57
ADGRE5,0.1,0.15,0.05,0.11,0.1,0.15,0.11,0.34,0.25,0.79,0.73,0.25,0.69,0.62,0.25,0.81,0.69
CLEC17A,0.05,0.12,0.01,0.08,0.04,0.11,0.04,0,0.03,0.3,0.08,0.03,0.25,0.11,0.05,0.23,0.11
DDX39A,0.06,0.12,0.03,0.09,0.05,0.12,0.05,0.02,0.04,0.32,0.16,0.05,0.32,0.17,0.03,0.24,0.11
DNAJB1,0.07,0.09,0.01,0.04,0.06,0.09,0.05,0.04,0.03,0.29,0.27,0.05,0.27,0.23,0.01,0.26,0.21
GIPC1,0.08,0.16,0.03,0.08,0.06,0.15,0.07,0.01,0.05,0.22,0.11,0,0.21,0.08,0.08,0.21,0.14
NDUFB7,0.0752688172043011,0.103092783505155,0.0652173913043478,0.0412371134020619,0.0537634408602151,0.0618556701030928,0.05,0.02,0.03,0.16,0.13,0.01,0.14,0.08,0.1,0.18,0.13
PKN1,0.06,0.08,0.01,0.07,0.06,0.08,0.06,0.04,0.05,0.43,0.29,0.02,0.43,0.23,0.04,0.36,0.27
PTGER1,0.05,0.05,0.01,0.03,0.05,0.05,0.05,0.02,0.03,0.26,0.1,0.03,0.26,0.2,0.04,0.19,0.1
TECR,0.07,0.15,0.04,0.08,0.06,0.14,0.06,0.18,0.16,0.49,0.43,0.16,0.35,0.3,0.1,0.45,0.43
ZNF333,0.07,0.09,0.03,0.09,0.07,0.1,0.07,0.01,0.02,0.41,0.23,0.01,0.3,0.14,0.08,0.42,0.25
