Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.09,0.09,0.08,0.07,0.07,0.09,0.08,0.1,0.06,0.06,0.06,0.03,0.05,0.05,0.05,0.03,0.05
ADGRE3,0.41,0.39,0.4,0.21,0.21,0.22,0.38,0.37,0.37,0.16,0.16,0.16,0.03,0.03,0.02,0.48,0.17,0.48
ADGRE5,0.4,0.41,0.41,0.21,0.21,0.2,0.36,0.38,0.39,0.26,0.26,0.26,0.03,0.03,0.03,0.55,0.15,0.62
CLEC17A,0.11,0.12,0.12,0.08,0.08,0.08,0.1,0.1,0.1,0.01,0.01,0.01,0.05,0.05,0.05,0.02,0.02,0.07
DDX39A,0.09,0.1,0.1,0.04,0.03,0.04,0.08,0.08,0.09,0.04,0.04,0.04,0.02,0.02,0.02,0.06,0.02,0.06
DNAJB1,0.13,0.12,0.13,0.1,0.1,0.08,0.09,0.08,0.09,0.06,0.06,0.06,0,0,0,0.03,0.02,0.03
GIPC1,0.05,0.05,0.05,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.01,0.05
NDUFB7,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0306122448979592,0.0306122448979592,0.0306122448979592,0.0306122448979592,0.0306122448979592,0.0408163265306122,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.01,0.01,0.01,0.03,0.01,0.01
PKN1,0.09,0.09,0.09,0.08,0.07,0.07,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.03
PTGER1,0.09,0.07,0.07,0.08,0.08,0.08,0.07,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.02
TECR,0.22,0.22,0.22,0.13,0.12,0.12,0.17,0.17,0.17,0.05,0.05,0.05,0.02,0.02,0.02,0.21,0.14,0.22
ZNF333,0.09,0.11,0.11,0.09,0.09,0.1,0.09,0.1,0.09,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.02,0.02
