Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0,0,0,0.01,0,0.07
ADGRE3,0.19,0.18,0.19,0.12,0.1,0.11,0.14,0.12,0.14,0.16,0.16,0.16,0,0,0,0.36,0.3,0.39
ADGRE5,0.25,0.25,0.26,0.13,0.13,0.12,0.22,0.23,0.25,0.16,0.16,0.16,0.01,0.01,0.02,0.41,0.33,0.45
CLEC17A,0.05,0.08,0.06,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.02,0.06
DDX39A,0.07,0.07,0.08,0.05,0.04,0.05,0.06,0.06,0.07,0.04,0.04,0.04,0,0,0,0,0,0.01
DNAJB1,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0,0,0,0.02,0.03,0.02
GIPC1,0.06,0.06,0.06,0.05,0.05,0.06,0.04,0.02,0.03,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01
NDUFB7,0.0666666666666667,0.0659340659340659,0.0760869565217391,0.0581395348837209,0.0459770114942529,0.0555555555555556,0.0113636363636364,0.0112359550561798,0.0111111111111111,0.0108695652173913,0.0108695652173913,0.010752688172043,0,0,0,0.04,0.04,0.04
PKN1,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0,0,0,0.01,0,0.03
PTGER1,0.04,0.04,0.04,0,0,0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
TECR,0.16,0.16,0.18,0.1,0.1,0.11,0.1,0.1,0.1,0.04,0.04,0.04,0,0,0,0.22,0.2,0.24
ZNF333,0.04,0.04,0.05,0.05,0.04,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.03
