Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.08,0.09,0.08,0.08,0.09,0.07,0.08,0.08,0.03,0.03,0.03,0.01,0.02,0.02,0.06,0,0.06
ADGRE3,0.41,0.41,0.42,0.17,0.2,0.22,0.39,0.4,0.41,0.24,0.24,0.24,0.08,0.08,0.03,0.47,0.18,0.48
ADGRE5,0.42,0.42,0.47,0.28,0.28,0.3,0.42,0.41,0.45,0.24,0.24,0.24,0.16,0.16,0.05,0.46,0.27,0.52
CLEC17A,0.06,0.07,0.08,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.01,0.07
DDX39A,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.01,0.04
DNAJB1,0.09,0.09,0.1,0.09,0.08,0.11,0.07,0.07,0.11,0.04,0.04,0.04,0.02,0.03,0.03,0.05,0.04,0.05
GIPC1,0.06,0.08,0.08,0.01,0,0.04,0.06,0.07,0.07,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.01,0.03
NDUFB7,0.0769230769230769,0.0666666666666667,0.0816326530612245,0.0555555555555556,0.0449438202247191,0.0612244897959184,0.043956043956044,0.0444444444444444,0.0510204081632653,0.0103092783505155,0.0103092783505155,0.0101010101010101,0.01,0.01,0.02,0.03,0.02,0.03
PKN1,0.09,0.09,0.11,0.08,0.07,0.09,0.09,0.09,0.1,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.03
PTGER1,0.08,0.08,0.09,0.07,0.05,0.06,0.07,0.06,0.09,0.05,0.05,0.05,0,0,0,0.02,0.01,0.04
TECR,0.23,0.23,0.25,0.13,0.16,0.18,0.15,0.16,0.2,0.1,0.11,0.11,0,0.01,0,0.3,0.15,0.3
ZNF333,0.12,0.11,0.14,0.09,0.09,0.09,0.11,0.11,0.14,0.02,0.02,0.02,0,0.01,0.02,0.02,0,0.04
