Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.09,0.11,0.05,0.05,0.09,0.09,0.09,0.11,0.02,0.02,0.02,0,0,0,0,0.01,0
ADGRE3,0.29,0.3,0.3,0.14,0.13,0.15,0.29,0.3,0.29,0.19,0.19,0.19,0.07,0.08,0.05,0.39,0.07,0.47
ADGRE5,0.45,0.43,0.45,0.26,0.29,0.29,0.41,0.42,0.44,0.27,0.27,0.27,0.1,0.1,0.05,0.56,0.22,0.59
CLEC17A,0.1,0.11,0.11,0.09,0.09,0.08,0.09,0.09,0.11,0.03,0.03,0.03,0,0,0,0.05,0.04,0.04
DDX39A,0.12,0.09,0.11,0.07,0.06,0.09,0.11,0.09,0.1,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.01,0.06
DNAJB1,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0,0.01
GIPC1,0.05,0.06,0.07,0.06,0.06,0.06,0.05,0.03,0.08,0.06,0.06,0.06,0.04,0.03,0.04,0.03,0.02,0.05
NDUFB7,0.0344827586206897,0.0454545454545455,0.0561797752808989,0,0.0120481927710843,0,0.0344827586206897,0.0454545454545455,0.0561797752808989,0,0,0,0.01,0.01,0.01,0.05,0.05,0.06
PKN1,0.08,0.07,0.09,0.07,0.07,0.09,0.07,0.07,0.07,0.01,0.01,0.01,0,0,0,0,0.01,0.02
PTGER1,0.11,0.12,0.12,0.05,0.04,0.03,0.09,0.09,0.11,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.04
TECR,0.23,0.24,0.28,0.11,0.11,0.12,0.21,0.22,0.25,0.07,0.07,0.07,0.04,0.04,0.02,0.25,0.15,0.22
ZNF333,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0,0.05
