Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.08,0.08,0.09,0.04,0.05,0.06,0.08,0.08,0.09,0.04,0.04,0.04,0,0,0,0,0,0.02
ADGRE3,0.29,0.28,0.32,0.12,0.11,0.15,0.28,0.28,0.3,0.04,0.04,0.04,0,0,0,0.18,0,0.28
ADGRE5,0.36,0.35,0.39,0.17,0.19,0.23,0.34,0.32,0.37,0.13,0.14,0.14,0,0,0,0.24,0,0.33
CLEC17A,0.06,0.06,0.07,0.04,0.02,0.05,0.04,0.05,0.07,0.01,0.01,0.01,0,0,0,0,0,0
DDX39A,0.05,0.06,0.11,0.03,0.05,0.07,0.04,0.05,0.1,0.01,0.01,0.01,0,0,0,0.02,0,0.02
DNAJB1,0.09,0.09,0.11,0.05,0.06,0.08,0.06,0.06,0.07,0.0303030303030303,0.0303030303030303,0.0303030303030303,0,0,0,0.01,0.01,0.02
GIPC1,0.07,0.07,0.09,0.06,0.06,0.07,0.06,0.06,0.08,0.01,0.01,0.01,0,0,0,0.01,0,0.03
NDUFB7,0.046875,0.0476190476190476,0.0571428571428571,0.0208333333333333,0.0222222222222222,0.0333333333333333,0.015625,0.0158730158730159,0.0428571428571429,0,0,0,0,0,0,0,0,0.03
PKN1,0.06,0.06,0.06,0.04,0.04,0.03,0.05,0.05,0.06,0.02,0.02,0.02,0,0,0,0.04,0,0.05
PTGER1,0.07,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0,0,0,0,0,0,0.01,0,0.03
TECR,0.19,0.18,0.2,0.03,0.03,0.05,0.17,0.17,0.19,0.03,0.03,0.03,0,0,0,0.04,0,0.07
ZNF333,0.05,0.06,0.06,0.09,0.1,0.11,0.05,0.06,0.06,0.01,0.01,0.01,0,0,0,0.02,0,0.04
