Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.12,0.08,0.07,0.04,0.13,0.04,0.06,0.06,0.11,0.07,0.07,0.07,0.07,0.07,0.03,0.03,0.02,0.03,0.49,0.25,0.03,0.52,0.31,0.06,0.13,0.11
ADGRE3,0.02,0.17,0.03,0.05,0.01,0.13,0.04,0.03,0.02,0.15,0.02,0.03,0.04,0.02,0.02,0.04,0.01,0.01,0.02,0.47,0.21,0.02,0.57,0.25,0.06,0.15,0.12
ADGRE5,0.04,0.16,0.04,0.07,0.05,0.12,0.04,0.03,0.04,0.16,0.04,0.04,0.07,0.04,0.04,0.07,0.04,0.04,0.03,0.56,0.24,0.02,0.6,0.3,0.04,0.14,0.06
CLEC17A,0.06,0.16,0.07,0.11,0.05,0.08,0.03,0.05,0.05,0.16,0.05,0.07,0.1,0.05,0.05,0.03,0.02,0.02,0.04,0.36,0.13,0.04,0.42,0.18,0.01,0.11,0.07
DDX39A,0.08,0.14,0.04,0.03,0.04,0.1,0.01,0.03,0.07,0.14,0.07,0.02,0.03,0.07,0.07,0.06,0.05,0.08,0.04,0.39,0.2,0.03,0.43,0.19,0.03,0.1,0.07
DNAJB1,0.02,0.09,0.04,0.04,0.01,0.07,0.03,0.03,0.02,0.08,0.01,0.04,0.04,0.02,0.02,0.04,0.03,0.03,0.08,0.31,0.12,0.03,0.4,0.2,0.06,0.1,0.09
GIPC1,0.03,0.17,0.1,0.13,0.01,0.13,0.1,0.1,0.03,0.16,0.03,0.08,0.12,0.03,0.03,0.04,0.04,0.03,0.05,0.4,0.26,0.04,0.4,0.26,0.06,0.14,0.13
NDUFB7,0.0135135135135135,0.10752688172043,0.0574712643678161,0.09375,0.0142857142857143,0.0752688172043011,0.0229885057471264,0.0416666666666667,0.0135135135135135,0.0752688172043011,0.0101010101010101,0.0574712643678161,0.0729166666666667,0.0105263157894737,0.01,0.02,0.01,0.01,0.03,0.26,0.07,0.06,0.26,0.11,0.01,0.15,0.06
PKN1,0,0.1,0.02,0.03,0.01,0.09,0.03,0.03,0,0.1,0,0.02,0.03,0,0,0.06,0.04,0.07,0.01,0.47,0.17,0.04,0.56,0.26,0.03,0.1,0.06
PTGER1,0.06,0.17,0.06,0.09,0.04,0.12,0.06,0.09,0.05,0.17,0.05,0.06,0.08,0.05,0.05,0.04,0.05,0.07,0.08,0.47,0.19,0.05,0.51,0.22,0.06,0.19,0.13
TECR,0.0606060606060606,0.16,0.04,0.07,0.0202020202020202,0.1,0.05,0.07,0.0404040404040404,0.13,0.04,0.03,0.06,0.04,0.04,0.02,0.04,0.03,0.03,0.34,0.14,0.02,0.38,0.19,0.05,0.1,0.07
ZNF333,0.02,0.15,0.02,0.02,0.03,0.12,0.03,0.03,0.02,0.15,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.48,0.21,0.05,0.52,0.25,0.03,0.15,0.08
