Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0.01
ADGRE3,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.05,0.05,0.05,0.02,0.02,0.03,0.01,0.06,0.05,0.01,0.03,0.03,0.02,0.08,0.07
ADGRE5,0.04,0.04,0.05,0.05,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0,0,0.01,0,0.01,0.03,0.02,0.03
CLEC17A,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.07,0.03,0.03,0.03,0.01,0.01,0.01,0.05,0.02,0.03,0.04,0.02,0.03,0.04,0.03,0.04
DDX39A,0.05,0.05,0.06,0.02,0.02,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.02,0.03,0.01,0.02,0.03,0.06,0.02,0.03
DNAJB1,0.05,0.05,0.06,0.02,0.03,0.03,0.05,0.05,0.05,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.01,0,0.01,0.01,0.01,0.04,0.04
GIPC1,0.04,0.04,0.06,0.01,0.01,0.01,0.02,0.02,0.02,0.06,0.06,0.06,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.05,0.04,0.05
NDUFB7,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0.02,0.05,0.01,0.03,0.06,0,0.01
PKN1,0.04,0.04,0.04,0.02,0.01,0.01,0.03,0.03,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0,0.03,0.02,0.01,0,0.01,0.02,0.04,0.04
PTGER1,0.07,0.08,0.07,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.05
TECR,0.07,0.07,0.09,0.04,0.05,0.05,0.03,0.03,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0.02,0.02,0.02,0.05,0.02,0.03
ZNF333,0.05,0.05,0.05,0.03,0.03,0.03,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.03,0.03,0,0,0,0.05,0.06,0.08
